B4dn B4an,0,B4fn B5dn,0,
0,0,B4gn B5gn,0,
H4an H5an,0,0,0,

0,0,0,0,
B4an B5an,0,B4an B5an,0,
B4gs B5gs,0,B4an B5an,0,
D4bn D5bn,0,0,0,

B5cn B5en B6cn,0,B4bn B5bn,0,
B4gn B5gn,0,D4gn D5gn,0,
0,0,B4en B5en,0,
B4bn B5bn,0,B4bn B5bn,0,

H4an H5cn H5fn H5an,0,0,0,
0,0,0,0,
0,0,B4en B5en,0,
B4gn B5gn,0,B4fn B5fn,0,

D4an D5dn,0,0,0,
B4an B5dn B5an,0,D4gn D4bn D5gn,0,
0,0,D4dn D5dn,0,
0,0,D4dn D5dn,0,

0,0,B4en B4gn B5en,0,
H4en H4gn H5en,0,0,0,
0,0,0,0,
0,0,B4en B5en,0,

B5cn B6cn,0,B4bn B5bn,0,
B5dn B6dn,0,D5cn D6cn,0,
0,0,B4gn B5gn,0,
B4bn B5bn,0,B4bn B5bn,0,

H4an H5cn H5fn H5an,0,0,0,
0,0,0,0,
0,0,B4an B5an,0,
B4gn B5gn,0,B4an B5an,0,

D5dn D5fn,0,0,0,
B4an B5dn B4an,0,D4bn D5dn D5bn,0,
0,0,D4gn D5gn,0,
0,0,F4an F5cn F5en F5an,0,

0,0,0,0,
B4an B5cn B5an,0,B4an B5cn B5an,0,
B4gs B5gs,0,B4an B5an,0,
D4bn D5bn,0,0,0,

B5cn B5en B6cn,0,B4bn B5bn,0,
B4gn B5gn,0,D4gn D5gn,0,
0,0,B4en B5en,0,
B4an B5an,0,B4an B5an,0,

H4an H5cn H5fn H5an,0,0,0,
0,0,0,0,
0,0,B4an B5an,0,
B4gn B5gn,0,B4an B5gn,0,

D4an D5dn,0,0,0,
B4an B5an,0,D4bn D5bn,0,
0,0,D4gn D5gn,0,
0,0,D4bn D5bn,0,

0,0,B5cn B6cn,0,
H4bn H5bn,0,0,0,
0,0,0,0,
0,0,B4en B5en,0,

B5cn B5en B6cn,0,B4bn B5en B5bn,0,
B5dn B6dn,0,D5cn D6cn,0,
0,0,B4en B5en,0,
B4bn B5bn,0,B5cn B6cn,0,

H5cn H6cn,0,0,0,
0,0,0,0,
0,0,B5cn B6cn,0,
B4bn B5bn,0,B4an B5an,0,

D5dn D5fn,0,0,0,
B4an B5dn B5an,0,D5dn D6dn,0,
0,0,D4gn D5gn,0,
0,0,B4gn B5gn,0,

B4gn B5gn,0,B4bn B5bn,0,
L4an L5an,0,0,0,
0,0,0,0,
0,0,0,0,

B4cn B5cn,0,B4en,0,
B4cn B5cn,0,D4dn D5dn,0,
0,0,D4dn D5dn,0,
0,0,R4en R4an R5cn R5en,0,

0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
